"ï»¿""Local Authorities""",Name,"Death Rates (Age-Standardised) per 100,000 population(2001)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2002)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2004)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2006)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2010)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2009-2011)",Numerator
00PR,Newport,14.8,20,12.88,19,10.86,18,9.81,14,8.09,12,13.47,19,15.38,22,11.45,18,15.76,25,12.95,20,16.48,26,11.83,37,8.96,26,14.44,41,13.62,43,14.74,46,9.63,44,13.46,59,15.07,71,9.08,16,5.36,8,8.12,12,9.14,16,9.89,16,7.49,19,8.3,19,9.87,25,14.58,21,12.8,18,21.01,29,18.3,27,20.11,30,11.75,25,18.88,40,20.71,46
00PT,Cardiff,10.63,30,10.85,31,15.16,46,15.42,45,11.11,33,17.06,49,19.68,60,20.71,63,14.4,44,19.54,62,13.51,42,13.01,77,13.27,78,18.34,109,17.53,107,16.52,104,13.93,124,19.12,172,15.82,148,6.51,22,6.98,22,12.45,39,10,33,10.3,36,7.15,35,13.15,62,8.71,46,19.8,55,20.08,56,24.51,70,25.21,74,22.81,68,21.26,89,25.35,110,23,102
Wales,Wales,12.21,385,11.19,363,12.54,414,12.8,416,12.31,407,13.05,430,14.41,479,16.05,541,14.37,492,14.45,494,13.34,459,11.86,777,12.56,823,13.72,909,15.21,1033,13.89,953,12.56,1237,14.5,1450,14.05,1445,7.73,271,8.83,302,8.89,310,9.94,356,9.89,357,8.62,446,9.62,507,9.55,516,16.3,506,16.51,521,18.86,599,20.83,677,18.17,596,16.77,791,19.7,943,18.87,929
7A1,Betsi Cadwaladr ULHB,12.46,93,11.99,94,13.96,104,14.98,110,12.05,95,13.58,109,14.16,111,17.2,142,13.85,110,13.93,112,13.06,104,12.95,198,13.51,205,13.85,220,15.53,252,13.5,216,13.67,309,14.98,362,13.62,326,9.72,78,10.09,80,10.28,86,11.11,92,10.23,83,10.31,123,10.96,137,10.14,124,16.49,120,17.12,125,17.65,134,20.42,160,17.13,133,17.26,186,19.39,225,17.43,202
7A2,Hywel Dda LHB,11.17,44,13.29,57,10.78,51,13.25,55,12.21,55,11.71,53,11.46,53,15.08,68,12,59,15.16,66,11.4,49,12.03,108,12.73,110,11.57,106,13.55,127,13.27,115,12.12,161,12.75,174,12.84,174,5.73,27,9.26,43,6.07,29,8.63,44,9.76,45,8.38,58,7.2,53,9.14,65,18.93,81,16.4,67,17.51,77,18.75,83,17.19,70,16.17,103,18.67,121,16.92,109
7A3,Abertawe Bro Morgannwg ULHB,14.14,76,11.53,61,13.73,77,12.92,73,13.66,75,12.77,69,13.58,77,15.31,85,16.1,90,13.87,81,14.14,83,12.63,138,13.3,148,13.22,146,15.69,175,14,164,13.43,225,13.93,231,14.73,254,7.15,40,8.32,47,8.18,48,9.32,55,9.27,58,7.54,64,9.05,80,8.81,81,18.48,98,18.67,101,18.54,98,22.4,120,19,106,19.79,161,19.04,151,21.01,173
7A4,Cardiff and  Vale ULHB,10.81,45,9.98,44,14.16,63,13.14,57,11.58,51,15.56,67,18.4,82,19.27,87,12.66,57,16.85,78,13.55,62,12.08,107,12.36,108,16.96,149,15.94,144,15.19,140,12.97,171,17.75,236,14.35,197,6.45,34,7.84,37,10.17,48,9.5,47,9.03,46,7.61,56,11.53,82,7.65,59,18.11,73,17.18,71,24.18,101,22.66,97,21.68,94,18.71,115,24.34,154,21.36,138
7A5,Cwm Taf LHB,15.28,46,10.39,31,11.42,35,16.88,52,15.52,47,15.58,48,21.57,64,19.5,59,16.91,55,20.46,64,15.32,51,10.88,66,16.22,99,18.5,112,18.25,114,17.89,115,14.63,134,18.78,171,17.56,170,5.9,18,12.2,38,9.68,31,11.32,37,15.69,52,10.41,48,9.78,47,14.61,73,16.21,48,20.44,61,27.84,81,25.65,77,20.27,63,19.14,86,28.31,124,20.77,97
7A6,Aneurin Bevan LHB,10.34,61,10.55,64,11.61,72,9.07,57,10.59,65,11.56,71,12.52,78,13.78,86,17.04,108,12.04,79,13.45,88,11.08,136,9.84,122,12.03,149,15.41,194,12.74,167,10.43,194,12.62,235,14.16,275,8.88,59,6.45,43,8.51,54,10.91,72,8.63,60,7.54,76,9.26,89,9.47,97,13.37,77,13.38,79,15.82,95,20.27,122,17.18,107,13.39,118,16.24,146,19.22,178
7A7,Powys LHB,12.32,20,7.58,12,6.75,12,7.05,12,11.24,19,8.51,13,7.48,14,8.48,14,6.51,13,8.53,14,12.49,22,7.2,24,9.17,31,7.96,27,7.47,27,10.52,36,8.35,43,8.11,41,9.21,49,8.21,15,8.16,14,7.72,14,4.89,9,7.2,13,7.89,21,6.97,19,6.27,17,5.95,9,10.56,17,8.02,13,10.23,18,14.18,23,8.98,22,9.14,22,12.46,32
