health_board,date,less than 4 hours percent,less than 8 hours percent,less than 12 hours percent,more than 12 hours
Aneurin Bevan,Sep 2014,0.9095823095823096,0.9582309582309583,0.9801333801333801,283.0
Betsi Cadwaladr University,Sep 2014,0.8053978794045197,0.9333833136981899,0.9686730213130555,585.0
Cardiff and Vale University,Sep 2014,0.8495638241053943,0.9687555634680435,0.9954602100765533,51.0
Cwm Taf,Sep 2014,0.8969434676764945,0.97971328103868,0.9913443332431702,96.0
Hywel Dda,Sep 2014,0.8727673109860533,0.9746350216132452,0.9946170785417177,66.0
Powys Teaching,Sep 2014,0.9986595174262735,1.0,1.0,0.0
Abertawe Bro Morgannwg University,August 2014,0.8385518590998043,0.9563600782778865,0.9868232224396608,202.0
Aneurin Bevan,August 2014,0.9047292143401984,0.9622425629290617,0.9845919145690313,202.0
Betsi Cadwaladr University,August 2014,0.8352174556943279,0.9510292738312682,0.9748728834476971,509.0
Cardiff and Vale University,August 2014,0.8500560538116592,0.9751494768310912,0.9990657698056801,10.0
Cwm Taf,August 2014,0.9023433669967644,0.9846063339543093,0.9953917050691244,47.0
Hywel Dda,August 2014,0.8854454897620365,0.9784963238200648,0.9921732943315678,99.0
Powys Teaching,August 2014,0.9987138263665595,0.9993569131832798,0.9993569131832798,1.0
Abertawe Bro Morgannwg University,Jul 202014,0.8318017430485564,0.9605146143356851,0.9906325961937511,158.0
Aneurin Bevan,Jul 202014,0.9062562462522487,0.9607568792058099,0.9880071956825904,180.0
Betsi Cadwaladr University,Jul 202014,0.8370756930147939,0.9575333939771149,0.9816632355053383,383.0
Cardiff and Vale University,Jul 202014,0.8782007511095937,0.9792591328098327,0.9988904062820075,13.0
Cwm Taf,Jul 202014,0.9116311561299336,0.9839329374781698,0.9972930492490395,31.0
Hywel Dda,Jul 202014,0.9161699526211218,0.9832645575424117,0.9933516735442458,87.0
Powys Teaching,Jul 202014,0.9984076433121019,0.9989384288747346,1.0,0.0
Abertawe Bro Morgannwg University,June 2014,0.8335169543395764,0.9665197698616722,0.991920675725303,132.0
Aneurin Bevan,June 2014,0.9140535049102607,0.9655943108703013,0.9876735523196749,182.0
Betsi Cadwaladr University,June 2014,0.8392883764846196,0.9559210853252497,0.9810664413854793,381.0
Cardiff and Vale University,June 2014,0.9056668378702277,0.9828796438965931,0.9983735661701764,19.0
Cwm Taf,June 2014,0.9050218340611353,0.9849890829694323,0.9954512372634643,50.0
Hywel Dda,June 2014,0.9031841999193874,0.9745264006449013,0.989036678758565,136.0
Powys Teaching,June 2014,0.9982618771726536,1.0,1.0,0.0
Abertawe Bro Morgannwg University,May2014,0.8316600366230978,0.9431079118519922,0.9816884510955358,290.0
Aneurin Bevan,May2014,0.9151698766500758,0.9624179470533074,0.9884584866190579,160.0
Betsi Cadwaladr University,May2014,0.8456567478208596,0.9491032962628995,0.9779080252479712,441.0
Cardiff and Vale University,May2014,0.8890400476149988,0.9868208485672987,0.9982994643312644,20.0
Cwm Taf,May2014,0.9116566615894633,0.9840516082788281,0.9952513215661679,53.0
Hywel Dda,May2014,0.8806557904042434,0.9654424174234509,0.9849714699027565,187.0
Powys Teaching,May2014,0.998730964467005,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Apr 2014,0.8514775977121067,0.9602160788052113,0.9888147442008262,176.0
Aneurin Bevan,Apr 2014,0.9182621502209131,0.9598674521354934,0.9830633284241531,230.0
Betsi Cadwaladr University,Apr 2014,0.8517970401691332,0.9619450317124736,0.9850422832980973,283.0
Cardiff and Vale University,Apr 2014,0.89549436795995,0.9789021991775434,0.9945467548721616,61.0
Cwm Taf,Apr 2014,0.8947562776957164,0.9761816838995568,0.9903988183161004,104.0
Hywel Dda,Apr 2014,0.8822928200323652,0.9666978962609658,0.9871390852567924,151.0
Powys Teaching,Apr 2014,0.9992872416250891,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Mar 2014,0.8447990181037128,0.9577170911322491,0.9915311445228597,138.0
Aneurin Bevan,Mar 2014,0.9208003918001819,0.9632687329461974,0.9892254949975513,154.0
Betsi Cadwaladr University,Mar 2014,0.8438924950378198,0.9550453301861488,0.980687731344885,360.0
Cardiff and Vale University,Mar 2014,0.8613222194982431,0.9651875459671488,0.9856991092588052,175.0
